# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.0,4.9,180.0,0,-3.0,0,0.0,0.0,0.0
 0.08959412978049804,2.012040662136687,4.9,180.0,-0.26878238934149407,-2.9999999999999996,0,0.0,0.0,0.0
 0.12691785705089054,2.0241622136575854,4.9,180.0,-0.38075357115267155,-2.9999999999999996,0,0.0,0.0,0.0
 0.15570057210118066,2.0363640022289524,4.9,180.0,-0.46710171630354186,-2.9999999999999982,0,0.0,0.0,0.0
 0.1800840091310032,2.048645375517043,4.9,180.0,-0.5402520273930095,-3.0,0,0.0,0.0,0.0
 0.20166916999236575,2.0610056811881146,4.9,180.0,-0.6050075099770972,-3.0000000000000013,0,0.0,0.0,0.0
 0.22127549481498282,2.073444266908423,4.9,180.0,-0.6638264844449483,-2.9999999999999956,0,0.0,0.0,0.0
 0.2393887777155603,2.085960480344225,4.9,180.0,-0.7181663331466808,-3.0000000000000013,0,0.0,0.0,0.0
 0.25632488390293157,2.098553669161777,4.9,180.0,-0.7689746517087946,-3.000000000000005,0,0.0,0.0,0.0
 0.2723027494381144,2.1112231810273347,4.9,180.0,-0.8169082483143432,-3.0000000000000036,0,0.0,0.0,0.0
 0.2874814354668891,2.1239683636071547,4.9,180.0,-0.8624443064006673,-3.0,0,0.0,0.0,0.0
 0.30198075498006355,2.1367885645674938,4.9,180.0,-0.9059422649401906,-2.999999999999996,0,0.0,0.0,0.0
 0.31589358078801166,2.149683131574608,4.9,180.0,-0.947680742364035,-3.000000000000004,0,0.0,0.0,0.0
 0.32929359979077816,2.1626514122947538,4.9,180.0,-0.9878807993723344,-2.999999999999996,0,0.0,0.0,0.0
 0.342240416855546,2.175692754394187,4.9,180.0,-1.0267212505666379,-2.9999999999999916,0,0.0,0.0,0.0
 0.3547830374930245,2.1888065055391652,4.9,180.0,-1.0643491124790732,-2.999999999999991,0,0.0,0.0,0.0
 0.3669623172261185,2.2019920133959436,4.9,180.0,-1.1008869516783553,-3.0000000000000044,0,0.0,0.0,0.0
 0.3788127291338722,2.2152486256307786,4.9,180.0,-1.1364381874016163,-2.9999999999999907,0,0.0,0.0,0.0
 0.3903636679729366,2.2285756899099276,4.9,180.0,-1.1710910039188094,-2.999999999999995,0,0.0,0.0,0.0
 0.40164043114843057,2.241972553899646,4.9,180.0,-1.2049212934452913,-3.0,0,0.0,0.0,0.0
 0.4126649692476053,2.2554385652661906,4.9,180.0,-1.2379949077428156,-3.000000000000005,0,0.0,0.0,0.0
 0.42345646897551553,2.2689730716758176,4.9,180.0,-1.2703694069265463,-3.0000000000000053,0,0.0,0.0,0.0
 0.43403181204053315,2.282575420794783,4.9,180.0,-1.3020954361215993,-3.0000000000000107,0,0.0,0.0,0.0
 0.4444059407713806,2.2962449602893438,4.9,180.0,-1.3332178223141418,-3.0000000000000053,0,0.0,0.0,0.0
 0.45459215261283453,2.309981037825756,4.9,180.0,-1.3637764578385034,-2.9999999999999947,0,0.0,0.0,0.0
 0.4646023396915374,2.323783001070276,4.9,180.0,-1.3938070190746121,-3.0000000000000053,0,0.0,0.0,0.0
 0.4744471854619579,2.33765019768916,4.9,180.0,-1.4233415563858736,-2.9999999999999942,0,0.0,0.0,0.0
 0.484136327459298,2.351581975348665,4.9,180.0,-1.4524089823778938,-2.9999999999999942,0,0.0,0.0,0.0
 0.49367849302627875,2.3655776817150462,4.9,180.0,-1.481035479078836,-3.0,0,0.0,0.0,0.0
 0.5030816132958692,2.3796366644545617,4.9,180.0,-1.5092448398876075,-3.000000000000012,0,0.0,0.0,0.0
 0.5123529195346154,2.393758271233466,4.9,180.0,-1.5370587586038458,-2.999999999999976,0,0.0,0.0,0.0
 0.521499025066533,2.4079418497180165,4.9,180.0,-1.5644970751995986,-2.999999999999988,0,0.0,0.0,0.0
 0.530525995325689,2.4221867475744694,4.9,180.0,-1.5915779859770667,-3.0000000000000124,0,0.0,0.0,0.0
 0.5394394080704404,2.4364923124690807,4.9,180.0,-1.6183182242113212,-3.000000000000025,0,0.0,0.0,0.0
 0.548244405393621,2.4508578920681074,4.9,180.0,-1.6447332161808628,-3.0,0,0.0,0.0,0.0
 0.5569457388518234,2.4652828340378052,4.9,180.0,-1.6708372165554704,-3.0000000000000253,0,0.0,0.0,0.0
 0.5655478087921663,2.479766486044431,4.9,180.0,-1.6966434263764991,-3.0000000000000258,0,0.0,0.0,0.0
 0.574054698760923,2.494308195754241,4.9,180.0,-1.7221640962827691,-2.999999999999987,0,0.0,0.0,0.0
 0.5824702057235727,2.5089073108334916,4.9,180.0,-1.7474106171707182,-3.0,0,0.0,0.0,0.0
 0.5907978667014286,2.5235631789484385,4.9,180.0,-1.7723936001042861,-3.0,0,0.0,0.0,0.0
 0.5990409823294445,2.5382751477653387,4.9,180.0,-1.7971229469883339,-3.000000000000027,0,0.0,0.0,0.0
 0.6072026377580217,2.553042564950449,4.9,180.0,-1.821607913274066,-3.000000000000027,0,0.0,0.0,0.0
 0.6152857212547812,2.5678647781700246,4.9,180.0,-1.8458571637643444,-3.0000000000000138,0,0.0,0.0,0.0
 0.623292940807302,2.5827411350903224,4.9,180.0,-1.8698788224219067,-2.9999999999999862,0,0.0,0.0,0.0
 0.6312268389824158,2.5976709833775993,4.9,180.0,-1.8936805169472484,-3.000000000000028,0,0.0,0.0,0.0
