# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.0011332330356972,4.921661467254559,-179.98958572203867,0,-3.0,-0.029758971635164447,0.0,0.0,0.0
 0.08955485206620117,2.013163340129871,4.921663653888228,-179.98958572203867,-0.2686645561986035,-3.0,-0.029758971635164447,0.0,0.5519969101648432,0.0
 0.12680706425910387,2.0252532783889836,4.921670190402776,-179.9690226160114,-0.3804211927773116,-3.0,-0.029086346483814397,0.0,0.7039804976568995,0.0
 0.1554975820905264,2.0374024732779223,4.92168104171852,-179.94882505099037,-0.4664927462715792,-3.0000000000000018,-0.028433344527227598,0.0,0.8173183906849718,0.0
 0.1797723252982702,2.0496103502615743,4.921696172755776,-179.92898485693752,-0.5393169758948106,-3.0,-0.027799223392048385,0.0,0.9081332482694479,0.0
 0.2012347439536473,2.0618763348048263,4.921715548434858,-179.90949412096828,-0.6037042318609419,-2.9999999999999987,-0.027183274793512433,0.0,0.9834493609503485,0.0
 0.2207059482630578,2.074199852372566,4.921739133676082,-179.89034517753328,-0.6621178447891735,-3.0,-0.02658482137273496,0.0,1.0471728561775342,0.0
 0.23867297092715434,2.08658032842968,4.921766893399765,-179.8715305990931,-0.716018912781463,-2.9999999999999987,-0.026003215702884417,0.0,1.1017741299747537,0.0
 0.2554526459664739,2.0990171884410556,4.9217987925262205,-179.8530431872254,-0.7663579378994216,-3.0,-0.025437839051592692,0.0,1.1489480040537607,0.0
 0.27126469583254675,2.1115098578715803,4.921834795975764,-179.83487596409176,-0.8137940874976403,-3.0,-0.024888099878940636,0.0,1.189924756830367,0.0
 0.2862688376447215,2.124057762186141,4.921874868668712,-179.81702216429446,-0.8588065129341645,-3.0000000000000036,-0.02435343118977149,0.0,1.2256353042011736,0.0
 0.3005854431563254,2.1366603268496243,4.921918975525379,-179.79947522714312,-0.9017563294689762,-2.999999999999996,-0.023833291290188994,0.0,1.2568067803651486,0.0
 0.3143078690867209,2.149316977326918,4.921967081466083,-179.78222878919075,-0.9429236072601627,-2.999999999999992,-0.023327161445951723,0.0,1.2840215373985984,0.0
 0.32751022708533356,2.162027139082909,4.922019151411136,-179.7652766771761,-0.9825306812560005,-2.999999999999996,-0.02283454377632989,0.0,1.3077554873829382,0.0
 0.3402524990027601,2.174790237582484,4.922075150280856,-179.74861290115436,-1.0207574970082802,-3.0000000000000044,-0.022354962361554022,0.0,1.3284040417440974,0.0
 0.3525840280720061,2.1876056982905308,4.922135042995556,-179.73223164809787,-1.0577520842160182,-2.9999999999999956,-0.021887960575651604,0.0,1.3463003065755226,0.0
 0.36454597477569356,2.2004729466719364,4.9221987944755545,-179.71612727558346,-1.0936379243270806,-3.0000000000000093,-0.021433101350623058,0.0,1.361728177530276,0.0
 0.3761730894553828,2.2133914081915873,4.922266369641165,-179.70029430590074,-1.1285192683661482,-2.9999999999999902,-0.020989963848489855,0.0,1.374932031601459,0.0
 0.38749502044977485,2.2263605083143716,4.922337733412704,-179.68472742031696,-1.1624850613493243,-2.9999999999999902,-0.02055814615218055,0.0,1.386124032072932,0.0
 0.39853729829883383,2.2393796725051756,4.922412850710485,-179.66942145362157,-1.1956118948965013,-3.00000000000001,-0.020137261631562733,0.0,1.3954897483303619,0.0
 0.4093220889146019,2.252448326228887,4.922491686454826,-179.65437138887938,-1.2279662667438056,-3.0,-0.019726938910398558,0.0,1.403192540800447,0.0
 0.41986877869311356,2.265565894950392,4.922574205566042,-179.639572352452,-1.2596063360793406,-3.0000000000000053,-0.019326822189305124,0.0,1.4093770477126124,0.0
 0.430194435214644,2.2787318041345785,4.9226603729644465,-179.625019609148,-1.290583305643932,-3.0000000000000053,-0.018936569071442907,0.0,1.4141719773672923,0.0
 0.44031417438828446,2.291945479246334,4.922750153570358,-179.6107085575904,-1.3209425231648533,-2.9999999999999947,-0.018555850879661245,0.0,1.4176923667947572,0.0
 0.45024145624438655,2.3052063457505447,4.922843512304089,-179.59663472587997,-1.3507243687331596,-3.0000000000000058,-0.01818435107411072,0.0,1.4200414631772365,0.0
 0.4599883256096866,2.318513829112098,4.922940414085956,-179.58279376724505,-1.3799649768290596,-2.999999999999983,-0.017821766897666562,0.0,1.421312250926217,0.0
 0.4695656097089224,2.3318673547958815,4.923040823836276,-179.56918145602424,-1.408696829126767,-2.9999999999999942,-0.01746780484348524,0.0,1.4215887466850974,0.0
 0.4789830817463241,2.345266348266782,4.923144706475363,-179.55579368375362,-1.436949245238972,-3.0000000000000058,-0.01712218426319984,0.0,1.4209470871147483,0.0
 0.4882495973550668,2.3587102349896862,4.923252026923533,-179.5426264553917,-1.4647487920652003,-3.000000000000012,-0.016784635126259512,0.0,1.4194564470277284,0.0
 0.4973732092137245,2.372198440429482,4.923362750101101,-179.52967588571875,-1.4921196276411737,-3.0000000000000244,-0.01645489669638331,0.0,1.4171798267864923,0.0
 0.5063612639481332,2.3857303900510556,4.923476840928383,-179.51693819586708,-1.5190837918443998,-3.0000000000000124,-0.016132718225684857,0.0,1.4141747262088509,0.0
 0.5152204845498499,2.399305509319295,4.923594264325694,-179.50440970999824,-1.5456614536495499,-2.9999999999999876,-0.015817858320141244,0.0,1.4104937285419736,0.0
 0.5239570408685691,2.4129232236990874,4.92371498521335,-179.49208685210164,-1.5718711226057074,-3.0,-0.015510084641450836,0.0,1.4061850074639375,0.0
